CA,openssl_acc,openssl_reason,polarssl_acc,polarssl_reason,gnutls_acc,gnutls_reason,matrix_acc,matrix_reason,cons
lobal_Chambersign_Root_-_2008,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
o_Daddy_Class_2_CA,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
o_Daddy_Root_Certificate_Authority_-_G2,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," parsing errors

",F," parsing errors

",1
Hongkong_Post_Root_CA_1,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
C_A,F," 18 at 0 depth lookup:self signed certificate

",F," parsing errors
parsing errors

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
zenpe.co,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
Juur-SK,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
Microsec_e-Szigno_Root_CA,F," 20 at 0 depth lookup: unable to get local issuer certificate

",T,None,T,None,F," Auth Key / Subject Key Match

",0
Microsec_e-Szigno_Root_CA_2009,T,None,T,None,T,None,F," parsing errors

",0
etLock_Arany_=Class_Gold=_Főtanúsítvány,T,None,F," parsing errors
parsing errors

",T,None,F," Auth Key / Subject Key Match

",0
etLock_Business_=Class_B=_Root,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
etLock_Express_=Class_C=_Root,T,None,T,None,T,None,T,None,1
etLock_Notary_=Class_A=_Root,T,None,T,None,T,None,T,None,1
etLock_Qualified_=Class_QA=_Root,T,None,F," parsing errors
parsing errors

",T,None,T,None,0
etwork_Solutions_Certificate_Authority,T,None,F," parsing errors
parsing errors

",T,None,F," Auth Key / Subject Key Match

",0
OISTE_WISeKey_Global_Root_GA_CA,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
QuoVadis_Root_CA,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
QuoVadis_Root_CA_2,F," 20 at 0 depth lookup: unable to get local issuer certificate

",T,None,T,None,F," Auth Key / Subject Key Match

",0
QuoVadis_Root_CA_3,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," parsing errors

",F," parsing errors

",1
_Root_Certificate_1,T,None,F," parsing errors
parsing errors

",F," parsing errors

",F," parsing errors

",0
_Security_2048_v3,T,None,T,None,T,None,F," parsing errors

",0
oot_CA_Generalitat_Valenciana,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
-TRUST_Authentication_and_Encryption_Root_CA_2005_PN,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
ecureSign_RootCA11,T,None,T,None,T,None,T,None,1
ecureTrust_CA,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
ecure_Global_CA,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
ecurity_Communication_EV_RootCA1,F," 18 at 0 depth lookup:self signed certificate

",F," parsing errors
parsing errors

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
ecurity_Communication_Root_CA,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," parsing errors

",1
onera_Class_1_Root_CA,T,None,F," parsing errors
parsing errors

",T,None,F," Auth Key / Subject Key Match

",0
onera_Class_2_Root_CA,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," parsing errors

",F," parsing errors

",1
taat_der_Nederlanden_Root_CA,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
taat_der_Nederlanden_Root_CA_-_G2,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
tarfield_Class_2_CA,F," 20 at 0 depth lookup: unable to get local issuer certificate

",T,None,T,None,F," Auth Key / Subject Key Match

",0
tarfield_Root_Certificate_Authority_-_G2,T,None,T,None,T,None,T,None,1
tarfield_Services_Root_Certificate_Authority_-_G2,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
tartCom_Certification_Authority,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
wissSign_Gold_CA_-_G2,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
wissSign_Platinum_CA_-_G2,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
wissSign_Silver_CA_-_G2,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
wisscom_Root_CA_1,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
C_TrustCenter_Class_2_CA_II,T,None,F," parsing errors
parsing errors

",T,None,F," Auth Key / Subject Key Match

",0
C_TrustCenter_Class_3_CA_II,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
C_TrustCenter_Universal_CA_I,F," unexpected reason

",F," parsing errors

",F," The certificate issuer is unknown
unknown reason

",F," Auth Key / Subject Key Match

",1
C_TrustCenter_Universal_CA_III,F," 18 at 0 depth lookup:self signed certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
C_TrustCenter__Germany__Class_2_CA,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
C_TrustCenter__Germany__Class_3_CA,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
DC_Internet_Root_CA,T,None,T,None,T,None,F," parsing errors

",0
DC_OCES_Root_CA,F," 18 at 0 depth lookup:self signed certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
URKTRUST_Certificate_Services_Provider_Root_1,T,None,T,None,T,None,T,None,1
URKTRUST_Certificate_Services_Provider_Root_2,T,None,F," parsing errors
parsing errors

",T,None,F," Auth Key / Subject Key Match

",0
WCA_Root_Certification_Authority,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
aiwan_GRCA,F," 18 at 0 depth lookup:self signed certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
hawte_Premium_Server_CA,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
hawte_Server_CA,T,None,T,None,T,None,F," parsing errors

",0
ÜBİTAK_UEKAE_Kök_Sertifika_Hizmet_Sağlayıcısı_-_Sürüm_3,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
UTN_DATACorp_SGC_Root_CA,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
UTN_USERFirst_Email_Root_CA,F," 18 at 0 depth lookup:self signed certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
UTN_USERFirst_Hardware_Root_CA,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
UbuntuOne-Go_Daddy_CA,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
UbuntuOne-Go_Daddy_Class_2_CA,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
aliCert_Class_1_VA,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," parsing errors

",1
aliCert_Class_2_VA,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," parsing errors

",1
eriSign_Class_3_Public_Primary_Certification_Authority_-_G4,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
eriSign_Class_3_Public_Primary_Certification_Authority_-_G5,T,None,F," parsing errors
parsing errors

",T,None,F," Auth Key / Subject Key Match

",0
eriSign_Universal_Root_Certification_Authority,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
erisign_Class_1_Public_Primary_Certification_Authority,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," parsing errors

",1
erisign_Class_1_Public_Primary_Certification_Authority_-_G2,T,None,T,None,T,None,F," parsing errors

",0
erisign_Class_1_Public_Primary_Certification_Authority_-_G3,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
erisign_Class_2_Public_Primary_Certification_Authority,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," parsing errors

",1
erisign_Class_2_Public_Primary_Certification_Authority_-_G2,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
erisign_Class_2_Public_Primary_Certification_Authority_-_G3,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
erisign_Class_3_Public_Primary_Certification_Authority,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," parsing errors

",F," parsing errors

",1
erisign_Class_3_Public_Primary_Certification_Authority_-_G2,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," parsing errors

",1
erisign_Class_3_Public_Primary_Certification_Authority_-_G3,T,None,T,None,T,None,F," parsing errors

",0
erisign_Class_4_Public_Primary_Certification_Authority_-_G2,F," unexpected reason

",F," self-signed or not signed by a trusted CA

",F," not CA
unknown reason

",F," parsing errors

",1
erisign_Class_4_Public_Primary_Certification_Authority_-_G3,T,None,T,None,T,None,F," parsing errors

",0
isa_eCommerce_Root,F," 18 at 0 depth lookup:self signed certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
WellsSecure_Public_Root_Certificate_Authority,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
Wells_Fargo_Root_CA,T,None,T,None,T,None,T,None,1
XRamp_Global_CA_Root,F," 20 at 0 depth lookup: unable to get local issuer certificate

",T,None,F," The certificate issuer is unknown
unknown reason

",F," Auth Key / Subject Key Match

",0
ca,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
cacert.org,F," unexpected reason

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
certSIGN_ROOT_CA,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
ePKI_Root_Certification_Authority,F," 18 at 0 depth lookup:self signed certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," parsing errors

",1
spi-ca-2003,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
spi-cacert-2008,F," 20 at 0 depth lookup: unable to get local issuer certificate

",T,None,T,None,F," Auth Key / Subject Key Match

",0
ssl-cert-snakeoil,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," not CA
unknown reason

",F," parsing errors

",1
thawte_Primary_Root_CA,F," 18 at 0 depth lookup:self signed certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
thawte_Primary_Root_CA_-_G2,T,None,T,None,T,None,T,None,1
thawte_Primary_Root_CA_-_G3,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
